diameterum,index,type,laser,sweepType,intrinsicQualityFactor,couplingQualityFactor,centerWavelengthnm,resnormFit
5.9,2,disc,Santec,DC sweep,35577.1195258243,1352290.72182605,1505.26479644365,0.00104933160595572
5.9,2,disc,Santec,DC sweep,6190.20661394929,270797.134765882,1544.02356503737,0.0143260541260101
5.9,2,disc,Santec,DC sweep,4947.97349024379,398381.326524691,1576.7223833347,0.0219987186326942
5.9,2,disc,Santec,DC sweep,6118.0989171944,198536.776776301,1610.06301488194,0.0316718886767766
5.9,4,disc,New Focus,DC sweep,27578.5429158409,359161.043028522,1058.99839460048,0.00110197797806905
5.9,6,disc,New Focus,DC sweep,23104.8665308169,183113.974040269,1043.65101014836,0.00110352742847163
5.9,6,disc,New Focus,DC sweep,3396.4643796258,1169261.33577263,1043.87217291007,0.00445038861290595
5.9,6,disc,New Focus,DC sweep,18933.6944566554,1133041.38933027,1048.9177917655,0.00162238341506388
5.9,6,disc,New Focus,DC sweep,9996.62511780542,89101.6863343535,1057.05224660804,0.00104140950155068
5.9,6,disc,New Focus,DC sweep,7627.56281713872,274198.533538473,1057.48931212781,0.0581543988411636
5.9,6,disc,New Focus,DC sweep,21014.811525462,299290.75732298,1068.12080036035,0.00196388814129692
6.05,2,disc,New Focus,DC sweep,61454.7475459882,1036954.77021801,1039.90662,0.00919407550429292
6.05,2,disc,New Focus,piezo sweep,39618.0633278184,765747.713381437,1039.91654,0.0191822932025634
6.05,2,disc,Santec,DC sweep,1441.5636949119,13447.7711565666,1514.54542754951,0.562728927716065
6.05,2,disc,Santec,DC sweep,9822.9204844064,959801.09511055,1515.80379120312,0.00541981069614995
6.05,2,disc,Santec,DC sweep,784.860754765939,5435.06721181994,1538.83170913247,3.01782195749033
6.05,2,disc,Santec,DC sweep,3414.54748935203,323023.399100722,1596.51363982575,0.00561296431395388
6.05,2,disc,Santec,DC sweep,1259.83207067035,5522.3890121808,1601.58013612461,2.45475031939409
6.05,2,disc,Santec,DC sweep,2407.21484288237,207686.571899531,1609.88078583397,0.0239074171218618
6.05,2,disc,Santec,DC sweep,12326.7484691441,2819708.34270852,1630.65949150269,0.0319823634624257
6.05,2,disc,Santec,DC sweep,29056.2687437158,3489423.52166067,1639.19788239907,0.00500945450439607
6.05,2,disc,Santec,DC sweep,22492.0466506771,2938571.02929855,1639.51194728563,0.0138602555483726
6.05,3,toroid,New Focus,DC sweep,14251.9651013491,154892.273706696,1040.48868791124,0.00196420244274457
6.05,3,toroid,New Focus,DC sweep,3846.12119274666,808420.303540289,1040.92562113567,0.0150881435280065
6.05,3,toroid,New Focus,DC sweep,14639.2923548894,70471.7716963588,1058.4322287721,0.165493360896244
6.05,3,toroid,New Focus,DC sweep,24200.1878976374,539132.673971777,1064.80428018414,0.00137451711523939
6.05,3,toroid,New Focus,piezo sweep,55058.0090518119,694767.280084632,1040.61315,0.00255720632244093
6.05,3,toroid,New Focus,piezo sweep,53571.0998630702,1463560.43627573,1040.63478,3.71577413798757
6.05,3,toroid,Santec,DC sweep,4239.10994521197,476375.05093279,1516.69343172982,0.0117117111610559
6.05,3,toroid,Santec,DC sweep,993.800486868074,7022.50767416132,1541.10929762958,0.73251886576275
6.05,3,toroid,Santec,DC sweep,7056.57383364881,760215.49757485,1572.49264010136,0.00813533950396834
6.05,3,toroid,Santec,DC sweep,6846.06579282972,587113.860923029,1575.74944660634,0.00472734716662169
6.05,3,toroid,Santec,DC sweep,1220.66686510253,5854.93377546493,1602.9212086289,2.96405242959573
6.05,3,toroid,Santec,DC sweep,9170.59264752248,288776.795749208,1638.84214124873,0.00727327671436251
6.21,6,disc,New Focus,DC sweep,32462.0000353195,1500417.71215626,1051.55043,0.318000119556887
6.21,6,disc,Santec,DC sweep,3883.37905664439,244535.382316109,1510.06699038863,0.0483834686842958
6.21,6,disc,Santec,DC sweep,27593.4246390722,314964.406421472,1526.81268015602,0.026925251029181
6.21,6,disc,Santec,DC sweep,1101.6009426843,8779.94389978037,1530.10790890616,3.68207004367258
6.21,6,disc,Santec,DC sweep,16353.1541049833,1140034.59623606,1536.21019368777,0.00390464657312495
6.21,6,disc,Santec,DC sweep,14093.4701660778,995627.997469378,1536.38372373302,0.0380862148385642
6.21,6,disc,Santec,DC sweep,5276.11766575736,165360.703073477,1566.99129928784,0.00912417491252441
6.21,6,disc,Santec,DC sweep,33977.5690756305,287688.606402612,1579.00614798126,0.0235733633760193
6.21,6,disc,Santec,DC sweep,4109.79413725524,90796.2781576475,1592.05109400451,0.06811777397604
6.21,6,disc,Santec,DC sweep,16761.8091470039,597033.912226666,1621.8851343657,0.00177119380199106
6.21,6,disc,Santec,DC sweep,6241.01278352875,95176.0862129235,1626.75552941619,0.0920962868991391
6.21,6,disc,Santec,DC sweep,9824.69094966093,685085.851899822,1634.8383045008,0.00365285395545762
6.21,7,toroid,New Focus,DC sweep,27540.9990812348,189987.465822435,1035.40094991888,1.74693345998443
6.21,7,toroid,Santec,DC sweep,28609.0611981332,6825464.96443843,1568.89044615145,0.00362952710417921
6.36,1,toroid,Santec,DC sweep,2726.34151631401,18856.606027457,1486.34504529579,0.0269559998381499
